STATE,Conservative/Liberal
ALABAMA,Conservative
UTAH,Conservative
WYOMING,Conservative
OKLAHOMA,Conservative
IDAHO,Conservative
ARKANSAS,Conservative
WEST VIRGINIA,Conservative
KENTUCKY,Conservative
NEBRASKA,Conservative
LOUISIANA,Conservative
KANSAS,Conservative
TENNESSEE,Conservative
ALASKA,Conservative
TEXAS,Conservative
MISSISSIPPI,Conservative
SOUTH DAKOTA,Conservative
SOUTH CAROLINA,Conservative
ARIZONA,Conservative
MONTANA,Conservative
GEORGIA,Conservative
INDIANA,Swing
MISSOURI,Swing
NORTH CAROLINA,Swing
FLORIDA,Swing
OHIO,Swing
VIRGINIA,Liberal
NEW HAMPSHIRE,Liberal
COLORADO,Liberal
PENNSYLVANIA,Liberal
IOWA,Liberal
MINNESOTA,Liberal
NEVADA,Liberal
WISCONSIN,Liberal
MICHIGAN,Liberal
NEW MEXICO,Liberal
NEW JERSEY,Liberal
OREGON,Liberal
WASHINGTON,Liberal
MAINE,Liberal
CONNECTICUT,Liberal
ILLINOIS,Liberal
DELAWARE,Liberal
CALIFORNIA,Liberal
MASSACHUSETTS,Liberal
MARYLAND,Liberal
NEW YORK,Liberal
RHODE ISLAND,Liberal
VERMONT,Liberal
HAWAII,Liberal
NORTH DAKOTA,Liberal
DISTRICT OF COLUMBIA,Liberal
VIRGIN ISLANDS,N/A
PUERTO RICO,N/A
AMERICAN SAMOA,N/A
